Order,Product,Quantity,Length,Width,Height,Weight
35430,53803,36,225,225,180,5.186
35430,57317,10,335,250,264,14.614
35430,82378,12,130,194,290,6.053
35430,40304,5,385,110,35,10.473
35430,68231,1,385,160,215,10.727
35430,34299,2,130,194,290,6.026
35430,26650,1,225,225,180,5.19
35430,58540,4,211,230,264,12.234
35430,70227,15,211,230,264,12.218
35430,89391,1,300,160,210,8.477
35430,25895,10,300,160,216,10.142
35430,52454,18,225,225,180,5.19
35430,89429,8,211,230,264,12.25
35430,64393,4,263,221,253,8.815
35430,72217,4,293,293,192,10.383
35430,75024,3,244,164,274,5.811
35430,70696,1,387,227,151,10.382
29718,28862,20,300,160,216,8.953
29718,70696,18,387,227,151,10.382
29718,49668,1,270,270,300,10.584
29718,53900,36,130,194,290,6.278
29718,25895,10,300,160,216,10.142
29718,57007,21,244,164,274,6.06
28425,75023,4,244,164,274,5.811
28425,10772,10,225,225,180,5.19
28425,54381,4,244,164,274,6.111
28425,53803,36,225,225,180,5.186
28425,15655,6,211,230,264,12.07
28425,26650,10,225,225,180,5.19
28425,72217,5,293,293,192,10.383
28425,82378,2,130,194,290,6.053
28425,68305,8,405,271,164,13.646
28425,68231,2,385,160,215,10.727
28425,18967,5,160,160,111,1.781
28425,58540,1,211,230,264,12.234
28425,34299,14,130,194,290,6.026
28425,89391,3,300,160,210,8.477
28425,53900,20,130,194,290,6.278
28425,43746,20,300,160,216,8.757
28425,86799,1,266,266,266,10.369
28425,99221,3,225,225,180,5.19
28425,89429,6,211,230,264,12.25
28425,23395,4,225,225,180,5.69
28425,12664,2,364,195,216,12.899
28425,43061,3,390,256,210,5.5
28425,80886,1,300,160,216,8.509
28425,47077,10,225,225,180,5.19
28425,70227,8,211,230,264,12.218
28425,55762,1,291,196,139,6.312
28425,87191,8,193,378,318,9.5
28425,40304,2,385,110,35,10.473
28425,95137,5,149,239,137,3.25
88838,35794,48,378,198,89,6.394
88838,47930,18,381,136,109,5.439
88838,50430,24,378,198,89,6.423
88838,40304,1,385,110,35,10.473
88838,56739,24,311,230,265,12.429
88838,96028,24,311,230,265,12.413
88838,21219,1,46,75,148,368.696
88838,98774,47,155,125,150,1.957
88838,10772,1,225,225,180,5.19
88838,47782,50,300,160,210,9.129
